what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576593386355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576593396571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576593421439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576593487474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576593497871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576593534789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576593536019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576593538824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576593544278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594803429
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576594804606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594806220
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1576594807974
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1576594807979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594809957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1576594809967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594812296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594813764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1576594813773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594815976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594817513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1576594817523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594818774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594820127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1576594820142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594821662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594823468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1576594823482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594830630
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576594832027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594832146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1576594832172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576594843310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576595625704
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576595640936
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576595640996
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576595643110
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576595643508
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576595643574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576595645809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576595647574
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576595647767
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576595647812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576595649226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576595654131
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576595656619
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576595656619
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576595658309
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576595658309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576595660704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576595664630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576597027617
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576597031022
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597031325
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597031396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576597032728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576597034510
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576597034648
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576597034692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576597037345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576597038422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576597206595
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597208893
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576597210836
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1576597211823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576597215230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576597228133
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597228219
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597228291
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576597231747
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597231985
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576597233992
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597234836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576597237894
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597238850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576597241084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576597243702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576597246063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576597247098
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597250915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576597253479
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576597254518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576597257231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576597262089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576597265330
