what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576679140144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576679147194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576679151421
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576679164108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679165585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679167044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679167089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679168191
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576679171167
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576679171208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679190375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679210854
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576679212952
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576679223933
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576679223933
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576679225689
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576679225689
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576679306778
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1576679311221
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1576679311250
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1576679312756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576679326054
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576679327813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576679333962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576679336691
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1576679338970
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576679339916
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1576679339916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679342678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679344053
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576679344220
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576679344263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679390379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679399946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679401256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576679404275
