what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804046972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804048769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804080522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804084787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804085788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804089946
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576804091102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804099728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804100681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804100931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804102228
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1576804102369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804102384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804103604
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804106457
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804106503
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804126951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804131780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804152688
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1576804161799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804168565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804171425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804172050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804179957
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804179988
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804180925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804184582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804188364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804189614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804211163
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804212554
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576804213929
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804213929
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576804215226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804216070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804217335
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804217523
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804217554
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576804220232
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804220232
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576804221264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804222477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804223571
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804223743
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576804223789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804225595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804234018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804239127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804243222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804244862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804289290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576804294650
