what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814531213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814532604
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576814541636
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576814544590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814546481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814550825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576814569530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814571577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814572218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1576814576250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1576814579875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1576814587266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576814590220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814590751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814592376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814592720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576814607425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576814618160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576814639788
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576814639803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576814656851
error,log,,,"Internal Error",1576814658883
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576814661711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576814669045
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576814674663
