what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305496417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305498221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305498696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305504659
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576305512436
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576305518722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305534085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305555775
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576305559679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305562527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305575417
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576305577550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305607307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305672565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305682807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305698739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305703520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576305722022
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576305723736
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1576305724073
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1576305724141
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576305730478
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576305731785
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1576305736992
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576305741853
