what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576567772949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567778828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567780900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576567783399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576567786582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567801982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567810578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576567813093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567853393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567853433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567853491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567859402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567867740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567868728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567869276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567873408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576567882424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576567892648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576567895875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576567906649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576567913438
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576567915456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567916322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567917573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567917610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567918785
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576567921706
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576567921755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567923319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576567952770
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576567954969
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576567957502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576567961480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576567965377
