what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576805689538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576805694164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805694616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805705400
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576805707041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805711182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805717620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805720105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805721167
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576805721839
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576805722292
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576805722355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805724496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805732543
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576805734591
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576805735903
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576805744107
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576805748170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576805748998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805774065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576805774534
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1576805774909
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1576805774941
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1576805774988
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1576805775003
