what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802295507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802299261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802300069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802303496
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802304619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802308356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802310314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802311051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802401454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802403810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802408293
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802418950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802423440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802449404
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576802454781
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802459807
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802459852
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576802473698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802474848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802532766
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802535345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802539510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802573666
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802583986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802589633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802617247
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802631828
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802635572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802637411
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802642962
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576802645281
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802646665
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1576802664956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1576802665253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576802677161
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802677301
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802677348
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802684193
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802684193
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576802686130
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802698944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576802700538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802711744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576802714838
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576802775360
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802775672
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802775688
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802788424
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576802805551
