what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576555662232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576555664939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576555681220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576555712425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576555717987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576555718996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576555742836
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576555745221
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1576555753611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576555755923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576555770059
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576555776961
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576555795506
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576555805277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576555847810
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576555859080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576555890101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576558973250
