what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576840962772
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576840962991
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576840963037
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576840990352
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576840995515
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576840996655
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576840996655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841037504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841132484
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841135312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841136750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841169018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841173316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841174988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841175160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841176504
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576841179319
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576841179350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576841182038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841183101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841316098
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841318582
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1576841318582
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576841338163
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841338413
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841338428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841348024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841370166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841372291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841392309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841394575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841397059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841418437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841434923
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841437251
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841438627
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1576841460364
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1576841460785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576841471161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841473256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576841688967
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576841694108
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1576841694311
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1576841694827
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841695014
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841695046
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576841695530
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576841695780
