what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287854139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1576287854180
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576287854221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1576287856026
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576287881362
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576287881638
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576287881737
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576287896459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287901908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287909813
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576287910206
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576287910293
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576287912749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287918614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287920925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1576287920963
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576287920993
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576287922187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287925809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287930434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287932009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287932102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287932409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576287933625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576288140171
